SNAP_All_csv_Neighborhood,Median_Home_Value,Change_Real_Value
Central Oakland,144350,0.836
North Oakland,273000,-0.031
West Oakland,61100,0.016
Crawford-Roberts,94600,0.055
Strip District,161800,-0.408
Central Business District,125800,0.672
Spring Hill-City View,58900,0.064
Perry South,51350,-0.089
Summer Hill,94400,-0.02
Perry North,76300,-0.026
Westwood,93700,0.025
Beltzhoover,36000,-0.164
Central Lawrenceville,66850,0.258
South Side Flats,153750,0.575
Allentown,42200,-0.028
South Side Slopes,73050,0.32
Bluff,21200,-0.588
Fineview,58900,0.181
Hazelwood,65550,0.338
Lincoln-Lemington-Belmar,43767,-0.229
East Hills,40700,-0.369
South Oakland,77200,0.278
Mount Washington,78175,0.113
Greenfield,90900,0.091
Squirrel Hill South,201400,0.181
Central Northside,124300,0.545
Spring Garden,48000,0.272
Troy Hill,52600,-0.043
East Allegheny,77100,0.659
Stanton Heights,86700,0.026
Lower Lawrenceville,56900,0.214
Bloomfield,92840,0.211
Carrick,66900,-0.008
Point Breeze,240300,0.157
Duquesne Heights,100500,0.199
Swisshelm Park,108600,0.046
Highland Park,167400,0.323
Garfield,60300,0.399
Manchester,101300,0.113
Upper Lawrenceville,48700,0.071
Beechview,72400,0.018
Brookline,82150,-0.034
Morningside,89700,0.191
Larimer,34850,-0.316
Bon Air,69500,-0.133
Banksville,110900,0.004
Windgap,78200,-0.064
Friendship,167300,0.143
Arlington,44200,-0.1
St. Clair,41100,-0.279
Mt. Oliver,56700,0.142
Sheraden,61600,-0.037
Allegheny West,123600,-0.389
Elliott,51300,-0.121
Shadyside,264860,0.362
Knoxville,39900,-0.125
Allegheny Center,136300,0.244
Brighton Heights,81433,-0.064
Crafton Heights,76650,-0.061
Polish Hill,62700,0.223
Arlington Heights,64400,0.13
Squirrel Hill North,344900,0.07
Terrace Village,59300,-0.141
Bedford Dwellings,81100,2.724
Regent Square,196300,0.372
Hays,50800,0.042
Point Breeze North,99500,-0.056
Marshall-Shadeland,61900,0.038
Lincoln Place,77700,-0.06
Overbrook,76200,-0.027
Homewood South,48400,0.131
Homewood North,35450,-0.261
Homewood West,34500,-0.291
Oakwood,108500,0.15
East Liberty,64650,-0.007
East Carnegie,63500,-0.078
New Homestead,117400,0.02
Upper Hill,66300,0.329
Middle Hill,72800,0.904
Esplen,51400,0.309
Fairywood,72800,0.223
Chartiers City,76700,-0.042
Ridgemont,90500,0.017
West End,29800,-0.122
California-Kirkbride,113200,1.794
